C1, 15.63, 44.13, 90.00, 1uF, C0402K
C10, 15.54, 17.49, 270.00, 20pF, C0402K
C11, 16.26, 7.62, 180.00, 20pF, C0402K
C12, 16.26, 10.16, 0.00, 20pF, C0402K
C13, 13.88, 6.03, 180.00, GREEN, SML0603
C14, 40.63, 44.13, 90.00, 1uF, C0402K
C15, 34.44, 8.32, 270.00, 22uF, R/2012-12R
C16, 31.49, 8.54, 90.00, 10uF, A/3216-18R
C17, 36.50, 37.47, 180.00, 100nF, C0402K
C18, 36.20, 25.06, 0.00, 100nF, C0402K
C19, 40.31, 26.35, 45.00, 100nF, C0402K
C2, 6.48, 8.54, 90.00, 10uF, A/3216-18R
C20, 31.42, 28.42, 135.00, 100nF, C0402K
C21, 33.18, 5.12, 0.00, 100nF, C0402K
C22, 39.96, 15.91, 180.00, 20pF, C0402K
C23, 40.54, 17.49, 270.00, 20pF, C0402K
C24, 41.26, 7.62, 180.00, 20pF, C0402K
C25, 41.26, 10.16, 0.00, 20pF, C0402K
C26, 38.88, 6.03, 180.00, GREEN, SML0603
C27, 65.63, 44.13, 90.00, 1uF, C0402K
C28, 59.44, 8.32, 270.00, 22uF, R/2012-12R
C29, 56.48, 8.54, 90.00, 10uF, A/3216-18R
C3, 9.44, 8.32, 270.00, 22uF, R/2012-12R
C30, 61.50, 37.47, 180.00, 100nF, C0402K
C31, 61.20, 25.06, 0.00, 100nF, C0402K
C32, 65.31, 26.35, 45.00, 100nF, C0402K
C33, 56.42, 28.42, 135.00, 100nF, C0402K
C34, 58.18, 5.12, 0.00, 100nF, C0402K
C35, 64.96, 15.91, 180.00, 20pF, C0402K
C36, 65.54, 17.49, 270.00, 20pF, C0402K
C37, 66.26, 7.62, 180.00, 20pF, C0402K
C38, 66.26, 10.16, 0.00, 20pF, C0402K
C39, 63.88, 6.03, 180.00, GREEN, SML0603
C4, 11.50, 37.47, 180.00, 100nF, C0402K
C40, 18.87, 70.63, 180.00, 1uF, C0402K
C41, 54.68, 64.44, 0.00, 22uF, R/2012-12R
C42, 54.46, 61.49, 180.00, 10uF, A/3216-18R
C43, 25.54, 66.50, 270.00, 100nF, C0402K
C44, 37.94, 66.20, 90.00, 100nF, C0402K
C45, 36.65, 70.31, 135.00, 100nF, C0402K
C46, 34.58, 61.42, 225.00, 100nF, C0402K
C47, 57.88, 63.18, 90.00, 100nF, C0402K
C48, 47.09, 69.96, 270.00, 20pF, C0402K
C49, 45.51, 70.54, 0.00, 20pF, C0402K
C5, 11.20, 25.06, 0.00, 100nF, C0402K
C50, 55.38, 71.26, 270.00, 20pF, C0402K
C51, 52.84, 71.26, 90.00, 20pF, C0402K
C52, 56.97, 68.88, 270.00, GREEN, SML0603
C6, 15.31, 26.35, 45.00, 100nF, C0402K
C7, 6.42, 28.42, 135.00, 100nF, C0402K
C8, 8.18, 5.12, 0.00, 100nF, C0402K
C9, 14.96, 15.91, 180.00, 20pF, C0402K
PWR, 13.88, 6.99, 180.00, RED, SML0603
PWR1, 38.88, 6.99, 180.00, RED, SML0603
PWR2, 63.88, 6.99, 180.00, RED, SML0603
PWR3, 56.02, 68.88, 270.00, RED, SML0603
Q1, 11.15, 21.29, 90.00, 32.768kHz, 3.2X1.5
Q2, 14.68, 21.45, 90.00, 8MHz, 5.0X3.2_2
Q3, 36.15, 21.29, 90.00, 32.768kHz, 3.2X1.5
Q4, 39.68, 21.45, 90.00, 8MHz, 5.0X3.2_2
Q5, 61.15, 21.29, 90.00, 32.768kHz, 3.2X1.5
Q6, 64.68, 21.45, 90.00, 8MHz, 5.0X3.2_2
Q7, 41.71, 66.15, 180.00, 32.768kHz, 3.2X1.5
Q8, 41.55, 69.68, 180.00, 8MHz, 5.0X3.2_2
R1, 17.06, 34.93, 270.00, 220, R0402
R10, 5.79, 12.22, 270.00, 220, R0402
R100, 67.06, 24.92, 270.00, 220, R0402
R101, 67.06, 27.15, 270.00, 220, R0402
R102, 55.94, 41.59, 270.00, 220, R0402
R103, 55.94, 39.37, 90.00, 220, R0402
R104, 55.94, 37.31, 90.00, 220, R0402
R105, 55.94, 35.24, 90.00, 220, R0402
R106, 56.26, 26.19, 0.00, 220, R0402
R107, 61.82, 4.92, 90.00, 220, R0402
R108, 56.26, 25.08, 0.00, 220, R0402
R109, 63.09, 41.27, 90.00, 100k, R0402
R11, 17.06, 39.37, 270.00, 220, R0402
R110, 65.31, 41.27, 270.00, 100k, R0402
R111, 66.90, 44.13, 270.00, 10k, R0402
R112, 64.20, 41.27, 90.00, 20, R0402
R113, 61.98, 41.27, 90.00, 20, R0402
R114, 60.87, 41.27, 90.00, 4k7, R0402
R115, 64.48, 17.45, 270.00, 1M, R0402
R116, 62.77, 8.10, 180.00, 1k, R0402
R117, 66.26, 5.08, 180.00, 1k, R0402
R118, 28.08, 72.06, 0.00, 220, R0402
R119, 25.85, 72.06, 0.00, 220, R0402
R12, 17.06, 41.59, 90.00, 220, R0402
R120, 39.03, 61.26, 270.00, 220, R0402
R121, 40.14, 61.26, 270.00, 220, R0402
R122, 41.89, 60.79, 0.00, 220, R0402
R123, 44.11, 60.79, 0.00, 220, R0402
R124, 46.33, 60.79, 0.00, 220, R0402
R125, 48.55, 60.79, 0.00, 220, R0402
R126, 50.78, 60.79, 0.00, 220, R0402
R127, 23.63, 72.06, 0.00, 220, R0402
R128, 21.41, 72.06, 180.00, 220, R0402
R129, 12.52, 60.95, 180.00, 220, R0402
R13, 5.94, 50.48, 90.00, 220, R0402
R130, 14.74, 60.95, 180.00, 220, R0402
R131, 16.96, 60.95, 180.00, 220, R0402
R132, 19.19, 60.95, 180.00, 220, R0402
R133, 51.41, 71.90, 180.00, 220, R0402
R134, 49.19, 71.90, 180.00, 220, R0402
R135, 46.97, 71.90, 180.00, 220, R0402
R136, 44.74, 71.90, 180.00, 220, R0402
R137, 42.52, 71.90, 180.00, 220, R0402
R138, 40.30, 71.90, 0.00, 220, R0402
R139, 38.08, 72.06, 0.00, 220, R0402
R14, 5.94, 48.26, 90.00, 220, R0402
R140, 35.85, 72.06, 0.00, 220, R0402
R141, 21.41, 60.95, 0.00, 220, R0402
R142, 23.63, 60.95, 180.00, 220, R0402
R143, 25.69, 60.95, 180.00, 220, R0402
R144, 27.76, 60.95, 180.00, 220, R0402
R145, 36.81, 61.26, 90.00, 220, R0402
R146, 58.08, 66.82, 180.00, 220, R0402
R147, 37.92, 61.26, 90.00, 220, R0402
R148, 21.73, 68.09, 180.00, 100k, R0402
R149, 21.73, 70.31, 0.00, 100k, R0402
R15, 5.94, 46.04, 90.00, 220, R0402
R150, 18.87, 71.90, 0.00, 10k, R0402
R151, 21.73, 69.20, 180.00, 20, R0402
R152, 21.73, 66.98, 180.00, 20, R0402
R153, 21.73, 65.87, 180.00, 4k7, R0402
R154, 45.55, 69.48, 0.00, 1M, R0402
R155, 54.90, 67.77, 270.00, 1k, R0402
R156, 57.92, 71.26, 270.00, 1k, R0402
R16, 5.94, 43.82, 90.00, 220, R0402
R17, 16.90, 11.59, 90.00, 220, R0402
R18, 16.90, 13.81, 90.00, 220, R0402
R19, 16.90, 16.03, 90.00, 220, R0402
R2, 17.06, 37.15, 270.00, 220, R0402
R20, 16.90, 18.26, 90.00, 220, R0402
R21, 16.90, 20.48, 90.00, 220, R0402
R22, 16.90, 22.70, 270.00, 220, R0402
R23, 17.06, 24.92, 270.00, 220, R0402
R24, 17.06, 27.15, 270.00, 220, R0402
R25, 5.94, 41.59, 270.00, 220, R0402
R26, 5.94, 39.37, 90.00, 220, R0402
R27, 5.94, 37.31, 90.00, 220, R0402
R28, 5.94, 35.24, 90.00, 220, R0402
R29, 6.26, 26.19, 0.00, 220, R0402
R3, 16.90, 44.13, 270.00, 10k, R0402
R30, 14.48, 17.45, 270.00, 1M, R0402
R31, 11.82, 4.92, 90.00, 220, R0402
R32, 6.26, 25.08, 0.00, 220, R0402
R33, 13.09, 41.27, 90.00, 100k, R0402
R34, 15.31, 41.27, 270.00, 100k, R0402
R35, 14.20, 41.27, 90.00, 20, R0402
R36, 11.98, 41.27, 90.00, 20, R0402
R37, 10.87, 41.27, 90.00, 4k7, R0402
R38, 12.77, 8.10, 180.00, 1k, R0402
R39, 16.26, 5.08, 180.00, 1k, R0402
R4, 6.26, 23.97, 180.00, 220, R0402
R40, 42.06, 34.93, 270.00, 220, R0402
R41, 42.06, 37.15, 270.00, 220, R0402
R42, 31.26, 23.97, 180.00, 220, R0402
R43, 31.26, 22.86, 180.00, 220, R0402
R44, 30.79, 21.11, 270.00, 220, R0402
R45, 30.79, 18.89, 270.00, 220, R0402
R46, 30.79, 16.67, 270.00, 220, R0402
R47, 30.79, 14.45, 270.00, 220, R0402
R48, 30.79, 12.22, 270.00, 220, R0402
R49, 42.06, 39.37, 270.00, 220, R0402
R5, 6.26, 22.86, 180.00, 220, R0402
R50, 42.06, 41.59, 90.00, 220, R0402
R51, 30.95, 50.48, 90.00, 220, R0402
R52, 30.95, 48.26, 90.00, 220, R0402
R53, 30.95, 46.04, 90.00, 220, R0402
R54, 30.95, 43.82, 90.00, 220, R0402
R55, 41.90, 11.59, 90.00, 220, R0402
R56, 41.90, 13.81, 90.00, 220, R0402
R57, 41.90, 16.03, 90.00, 220, R0402
R58, 41.90, 18.26, 90.00, 220, R0402
R59, 41.90, 20.48, 90.00, 220, R0402
R6, 5.79, 21.11, 270.00, 220, R0402
R60, 41.90, 22.70, 270.00, 220, R0402
R61, 42.06, 24.92, 270.00, 220, R0402
R62, 42.06, 27.15, 270.00, 220, R0402
R63, 30.95, 41.59, 270.00, 220, R0402
R64, 30.95, 39.37, 90.00, 220, R0402
R65, 30.95, 37.31, 90.00, 220, R0402
R66, 30.95, 35.24, 90.00, 220, R0402
R67, 31.26, 26.19, 0.00, 220, R0402
R68, 36.82, 4.92, 90.00, 220, R0402
R69, 31.26, 25.08, 0.00, 220, R0402
R7, 5.79, 18.89, 270.00, 220, R0402
R70, 38.09, 41.27, 90.00, 100k, R0402
R71, 40.31, 41.27, 270.00, 100k, R0402
R72, 41.90, 44.13, 270.00, 10k, R0402
R73, 39.20, 41.27, 90.00, 20, R0402
R74, 36.98, 41.27, 90.00, 20, R0402
R75, 35.87, 41.27, 90.00, 4k7, R0402
R76, 39.48, 17.45, 270.00, 1M, R0402
R77, 37.77, 8.10, 180.00, 1k, R0402
R78, 41.26, 5.08, 180.00, 1k, R0402
R79, 67.06, 34.93, 270.00, 220, R0402
R8, 5.79, 16.67, 270.00, 220, R0402
R80, 67.06, 37.15, 270.00, 220, R0402
R81, 56.26, 23.97, 180.00, 220, R0402
R82, 56.26, 22.86, 180.00, 220, R0402
R83, 55.79, 21.11, 270.00, 220, R0402
R84, 55.79, 18.89, 270.00, 220, R0402
R85, 55.79, 16.67, 270.00, 220, R0402
R86, 55.79, 14.45, 270.00, 220, R0402
R87, 55.79, 12.22, 270.00, 220, R0402
R88, 67.06, 39.37, 270.00, 220, R0402
R89, 67.06, 41.59, 90.00, 220, R0402
R9, 5.79, 14.45, 270.00, 220, R0402
R90, 55.94, 50.48, 90.00, 220, R0402
R91, 55.94, 48.26, 90.00, 220, R0402
R92, 55.94, 46.04, 90.00, 220, R0402
R93, 55.94, 43.82, 90.00, 220, R0402
R94, 66.90, 11.59, 90.00, 220, R0402
R95, 66.90, 13.81, 90.00, 220, R0402
R96, 66.90, 16.03, 90.00, 220, R0402
R97, 66.90, 18.26, 90.00, 220, R0402
R98, 66.90, 20.48, 90.00, 220, R0402
R99, 66.90, 22.70, 270.00, 220, R0402
U$1, 10.87, 14.61, 90.00, TACTILE-SWITCH, TS-1187A-B-A-B
U$2, 35.87, 14.61, 90.00, TACTILE-SWITCH, TS-1187A-B-A-B
U$3, 60.87, 14.61, 90.00, TACTILE-SWITCH, TS-1187A-B-A-B
U$4, 48.40, 65.87, 180.00, TACTILE-SWITCH, TS-1187A-B-A-B
U1, 11.50, 31.26, 135.00, STM32F103C8T6, QFP50P900X900X160-48N
U2, 11.50, 47.63, 0.00, AMS1117-3.3, SOT229P700X180-4N
U3, 36.50, 31.26, 135.00, STM32F103C8T6, QFP50P900X900X160-48N
U4, 36.50, 47.63, 0.00, AMS1117-3.3, SOT229P700X180-4N
U5, 61.50, 31.26, 135.00, STM32F103C8T6, QFP50P900X900X160-48N
U6, 61.50, 47.63, 0.00, AMS1117-3.3, SOT229P700X180-4N
U7, 31.74, 66.50, 225.00, STM32F103C8T6, QFP50P900X900X160-48N
U8, 15.38, 66.50, 90.00, AMS1117-3.3, SOT229P700X180-4N
